Name,Start,End,Open,High,Low,Close,Volume,Market Cap
Bitcoin,4/30/2025,5/1/2025,94156.19,95176.71,93091.66,94217.39,51110036351.80,1876366450656.89
Bitcoin,4/29/2025,4/30/2025,94953.95,95440.02,93816.45,94294.56,53275148518.08,1883311540612.00
Bitcoin,4/28/2025,4/29/2025,93675.97,95512.84,92873.97,95045.98,47019637241.46,1873289878196.03
Bitcoin,4/27/2025,4/28/2025,94608.66,95118.88,93699.99,93762.21,33903052084.18,1869133400014.05
Bitcoin,4/26/2025,4/27/2025,94769.97,95159.98,93958.35,94622.6,45320444896.18,1875608936554.95
Bitcoin,4/25/2025,4/26/2025,93867.96,95538.41,92992.34,94718.46,57823015672.09,1871335641432.86
Bitcoin,4/24/2025,4/25/2025,93577.44,93989,91685.59,93823.23,59781596981.84,1846190642756.77
Bitcoin,4/23/2025,4/24/2025,93642.39,94383.81,92155.5,93565.02,79929153065.02,1856407285385.87
Bitcoin,4/22/2025,4/23/2025,87556.88,93729.04,87306.04,93375.16,61394088008.17,1780730400337.74
Bitcoin,4/21/2025,4/22/2025,85190.58,88358.48,85190.58,87525.71,46101744164.78,1733086941755.30
Bitcoin,4/20/2025,4/21/2025,85059.77,85320.15,84018.53,85095.42,23639652101.37,1683010284160.16
Bitcoin,4/19/2025,4/20/2025,84484.98,85510.04,84368.6,85127.56,22003243113.91,1689659242621.34
Bitcoin,4/18/2025,4/19/2025,84892.79,85109.28,84344.03,84464.64,30940394080.19,1679968878910.57
Bitcoin,4/17/2025,4/18/2025,84081.07,85426.94,83814.62,84931.22,43303482367.15,1678993522204.32
Bitcoin,4/16/2025,4/17/2025,83652.14,85332.95,83163.1,84051.96,45342365089.33,1667600790769.74
Bitcoin,4/15/2025,4/16/2025,84521.75,86413.41,83632.78,83677.65,57960999450.00,1687913843445.48
Bitcoin,4/14/2025,4/15/2025,83779.1,85756,83773.4,84495.07,70255422114.09,1680958424657.87
Bitcoin,4/13/2025,4/14/2025,85285.14,85780.08,83171.6,83693.1,60526622123.96,1676455094379.06
Bitcoin,4/12/2025,4/13/2025,83359.29,85786.19,82810.94,85288.46,69354362438.22,1670075109950.17
Bitcoin,4/11/2025,4/12/2025,79575.97,84102.66,79006.6,83520.03,68172551563.09,1628880458512.57
Bitcoin,4/10/2025,4/11/2025,82617.98,82617.98,78750.38,79609.67,94987109013.12,1608320178162.25
Bitcoin,4/9/2025,4/10/2025,76067.55,83476.48,74670.3,82619.88,89266414295.57,1556205608697.82
Bitcoin,4/8/2025,4/9/2025,79265.03,80757.99,76352.03,76379.96,95111641621.43,1562372791770.09
Bitcoin,4/7/2025,4/8/2025,77958.02,80226.15,74530.04,79261.19,101964447739.57,1544464239033.29
Bitcoin,4/6/2025,4/7/2025,83533.45,83704.76,77296.39,78310.34,29747694061.91,1626851505050.85
Bitcoin,4/5/2025,4/6/2025,83769.12,84219.7,82384.97,83582.03,54248864825.99,1654109742457.40
Bitcoin,4/4/2025,4/5/2025,83259.08,84676.27,81767.53,83879.86,62632262272.25,1654910625336.70
Bitcoin,4/3/2025,4/4/2025,82259.03,83781.7,81307.75,83199.95,77668432600.06,1643472264746.05
Bitcoin,4/2/2025,4/3/2025,85170.68,87898.01,82487.4,82548.31,52376111578.41,1688190001005.20
Bitcoin,4/1/2025,4/2/2025,82612.64,85417.94,82470.01,85216.81,47683970204.78,1667079854423.46
Bitcoin,3/31/2025,4/1/2025,82393.71,83750,81365.02,82541.29,38919650975.47,1633849331577.06
Bitcoin,3/30/2025,3/31/2025,82655.67,83524.98,81650.45,82345.82,31733338256.85,1643757273158.95
Bitcoin,3/29/2025,3/30/2025,84364.84,84573.51,81771.86,82659.11,42848927373.23,1649214876303.67
Bitcoin,3/28/2025,3/29/2025,87134.99,87487.48,83664.96,84428.01,50686956680.82,1689251677527.29
Bitcoin,3/27/2025,3/28/2025,86943.66,87706.66,85938.04,87233.76,45790132375.13,1729988949434.18
Bitcoin,3/26/2025,3/27/2025,87333.61,88245.26,85937.46,86945.41,47668895554.22,1731789281821.97
Bitcoin,3/25/2025,3/26/2025,87345.15,88448.53,86349.98,87483.06,56119416636.41,1731916339831.70
Bitcoin,3/24/2025,3/25/2025,85967.42,88654.16,85568.55,87365.98,92018925791.76,1732703257782.78
Bitcoin,3/23/2025,3/24/2025,83833.25,85804.35,83833.25,85750.02,65768043880.17,1679311077904.34
Bitcoin,3/22/2025,3/23/2025,84074.52,84528.35,83742.1,83798.13,92973716555.33,1669817632499.79
Bitcoin,3/21/2025,3/22/2025,84335.64,84789.6,83364.81,84050.18,70499840455.28,1669094291927.65
Bitcoin,3/20/2025,3/21/2025,87309.29,87410.59,83765.74,84304.83,62868771995.13,1691193356249.70
Bitcoin,3/19/2025,3/20/2025,82658.81,86891.95,82611.59,86793.7,78132906441.67,1666735074297.43
Bitcoin,3/18/2025,3/19/2025,83919.26,83949.09,81221.47,82799.03,96487660396.66,1637257935310.46
Bitcoin,3/17/2025,3/18/2025,82643.23,84663.79,82643.23,84067.57,47257506664.23,1657349084338.12
Bitcoin,3/16/2025,3/17/2025,84346.05,84739.84,82065.51,82576.96,31567641071.92,1657871852100.84
Bitcoin,3/15/2025,3/16/2025,84063.17,84652.22,83675.09,84368.36,46550538210.57,1670909585731.36
Bitcoin,3/14/2025,3/15/2025,80991.38,85126.59,80866.26,83957.61,56526744237.57,1649042021849.38
Bitcoin,3/13/2025,3/14/2025,83827.62,84187.97,79995.68,81146.12,61086516899.39,1632602135516.19
Bitcoin,3/12/2025,3/13/2025,82799.95,84070.35,80915.88,83887.28,76918860094.91,1637675141128.06
Bitcoin,3/11/2025,3/12/2025,78951.25,83390.39,76794.34,82840.24,89456436399.14,1607287578220.85
Bitcoin,3/10/2025,3/11/2025,81277.03,83767.51,77523.99,78794.69,73877158367.67,1606216749264.52
Bitcoin,3/9/2025,3/10/2025,86164.45,86449.41,80213.41,80771.68,34642707910.61,1673321126853.42
Bitcoin,3/8/2025,3/9/2025,86715.98,86866.21,85265.53,86159.9,72159444573.93,1709870247214.31
Bitcoin,3/7/2025,3/8/2025,90117.99,90938.71,85051.68,86832.99,97762631402.49,1746105339032.89
Bitcoin,3/6/2025,3/7/2025,90680.38,92738.04,88101.89,90056.86,77139096015.50,1793579350158.50
Bitcoin,3/5/2025,3/6/2025,87062.04,90855.97,86429.91,90614.42,90614579558.49,1757706315377.23
Bitcoin,3/4/2025,3/5/2025,86086.02,88848.48,81942.81,87322.12,107614421820.40,1678926609763.70
Bitcoin,3/3/2025,3/4/2025,93956.01,93956.01,85353.3,86286.03,109083137930.82,1800579423466.43
Bitcoin,3/2/2025,3/3/2025,86055.01,94808.02,85107.4,94233.81,54036914312.34,1751024149322.31
Bitcoin,3/1/2025,3/2/2025,84307.46,86541.42,83867.88,86006.06,82169791727.77,1686655018938.95
Bitcoin,2/28/2025,3/1/2025,84874.36,84888.2,78534.47,84501.01,114808770267.34,1624974944099.30
Bitcoin,2/27/2025,2/28/2025,84352.25,87020.64,82853.95,84813.78,100592101371.19,1689394103519.35
Bitcoin,2/26/2025,2/27/2025,88600.08,89398.46,82402.48,84000,99646076735.11,1730505919717.11
Bitcoin,2/25/2025,2/26/2025,91725.79,92516.4,86329.96,88797.34,103570253695.43,1771178337014.82
Bitcoin,2/24/2025,2/25/2025,96247.37,96496.49,91453.66,91453.66,42915703251.61,1884412293752.23
Bitcoin,2/23/2025,2/24/2025,96525.93,96649.99,95261.67,96247.99,28491898334.81,1903376303185.57
Bitcoin,2/22/2025,2/23/2025,96007.97,96874.02,95804.04,96551.04,62605448425.71,1911875378462.31
Bitcoin,2/21/2025,2/22/2025,98405.09,99433.96,95005.59,96161.18,55048598577.08,1937089206914.20
Bitcoin,2/20/2025,2/21/2025,96655.17,98684.87,96496.28,98386.99,46556523351.64,1931015802953.69
Bitcoin,2/19/2025,2/20/2025,95611.05,96824.87,95041.74,96559.3,57227125160.45,1901422869029.97
Bitcoin,2/18/2025,2/19/2025,95872.11,96639.7,93494.19,95532.97,46646393397.85,1890961780614.72
Bitcoin,2/17/2025,2/18/2025,96158.2,96928.96,95233.09,95811.35,35606804164.09,1903929147306.72
Bitcoin,2/16/2025,2/17/2025,97608.91,97702.41,96126.98,96126.98,24935455179.88,1925797865419.89
Bitcoin,2/15/2025,2/16/2025,97441.96,97964.82,97286.16,97551.71,43880503845.83,1933527836923.83
Bitcoin,2/14/2025,2/15/2025,96634.17,98629.06,96322.62,97483.36,48799409930.81,1923503926457.92
Bitcoin,2/13/2025,2/14/2025,97692.8,98062.17,95360.04,96551.64,63136043802.06,1910325646084.81
Bitcoin,2/12/2025,2/13/2025,95885.71,98044.11,94336.27,97799.93,58173352163.37,1907453414925.05
